PM10_forecast,temp_forecast,humidity_forecast,rain_forecast,wind_forecast,hour,PM10_lower,PM10_upper,temp_lower,temp_upper,humidity_lower,humidity_upper,rain_lower,rain_upper,wind_lower,wind_upper
11.555264,16.357273,59.18798,0.00093762577,8.571861,49,3.6865158,21.23027,9.269463,23.110209,45.976986,73.634056,-0.012234852,0.00411126,4.194873,15.00474
11.792642,16.954039,59.773052,-0.0047100186,8.429149,50,4.493519,20.624805,11.135797,22.58542,46.43011,73.48474,-0.00919503,0.0033165812,3.3482022,13.441023
11.480095,16.33012,59.370724,0.12681821,8.564404,51,4.8990507,20.273222,9.065008,22.456484,46.37788,74.303635,-0.013132006,0.0025063008,3.8807244,14.424064
11.017154,16.987514,59.836567,0.010386229,9.058146,52,4.456607,20.431307,9.1462965,24.15963,47.86759,73.144714,-0.009117663,0.0046041757,3.3703475,16.606716
11.569528,16.10511,58.841064,-0.0049627423,8.676444,53,3.839203,21.280375,9.333432,22.816372,46.314365,71.12097,-0.011256829,0.002473712,3.0562735,14.828732
11.7810755,16.4237,58.83058,-0.0039039701,9.241269,54,3.4979439,18.744953,9.418256,24.18122,47.392025,74.1316,-0.011216402,0.0034781545,3.711185,15.9109745
11.937353,16.62766,59.31036,-0.0022581667,8.191526,55,3.8544579,20.47501,10.01735,22.639524,46.270996,73.68626,-0.010175705,0.002980709,2.798974,15.367329
11.374837,16.689775,59.449505,-0.0019910932,8.8016815,56,3.2313395,19.964176,10.029134,23.020077,46.22524,74.19298,-0.009202734,0.0020439178,3.4364462,15.798311
10.975611,17.437416,59.01047,0.0030610114,8.810439,57,3.7304173,20.281277,10.911301,24.481745,46.29919,74.52356,-0.010125667,0.0025644004,3.314592,14.26885
10.715663,16.389261,59.132153,0.0019094795,8.723664,58,2.887065,19.373617,10.14919,22.28209,48.99075,74.95567,-0.009003222,0.004333675,3.8239136,14.27939
10.895508,16.327126,58.315605,-0.005593255,8.540044,59,3.3336267,21.00668,9.639994,23.41364,43.47516,72.91311,-0.008063242,0.0015737414,3.7626534,14.363424
11.614186,17.145956,58.626545,0.018845975,8.774133,60,4.4611616,22.380363,10.622635,24.375023,45.695633,73.00157,-0.009642005,0.0035969764,3.4203033,14.45994
11.145682,16.885681,58.14559,0.01707463,8.166161,61,3.7902489,20.404612,9.254525,25.48486,47.438065,72.18555,-0.007924005,0.004801199,3.2586298,14.770668
11.728657,15.99921,59.154007,-0.0047628134,8.79221,62,4.0071783,22.303333,7.8713484,22.344421,46.41182,72.39293,-0.009500653,0.0025428087,3.9285426,15.749741
11.725664,16.388906,58.6707,0.00070121884,8.5739355,63,4.37661,21.62901,9.95363,24.58345,46.521675,74.94929,-0.009882137,0.0031637102,3.3180785,14.930925
11.828167,17.040777,59.228573,0.033409685,8.94197,64,3.825138,19.24414,10.289526,23.997374,47.130825,75.47498,-0.011150166,0.0030358583,3.6061711,16.411243
10.966797,16.512627,59.153027,0.00022397935,8.933916,65,3.627509,20.346333,9.112772,24.511274,47.60553,75.29237,-0.009428158,0.00281699,3.565701,16.174152
12.760998,16.676899,58.487923,0.03466612,9.209737,66,5.077227,21.62278,9.341787,23.543034,46.453835,73.56158,-0.008367747,0.0036034882,3.502315,15.732396
11.301708,16.361969,58.983093,-0.0038363487,9.265598,67,3.642294,20.602318,10.08582,23.711645,47.03463,72.23108,-0.010213688,0.0023543686,3.7210546,17.883926
11.021585,17.278496,59.35666,-0.00686495,9.419651,68,4.104474,19.981813,10.531843,22.793238,46.079628,75.269516,-0.00916858,0.0013935268,3.4170485,15.873871
12.285888,16.786577,58.070656,-0.003404364,9.405201,69,5.0141444,19.921675,10.175426,22.40789,42.441864,73.32922,-0.008684307,0.0024552643,3.814478,18.110466
11.569631,17.437824,58.917236,-0.0012865812,8.9169855,70,4.19753,18.92701,10.544824,23.134302,45.531612,73.783005,-0.009121552,0.0060553253,3.7304692,16.091608
11.654305,15.687229,58.271015,-0.0010536313,10.005602,71,4.1465206,22.021606,9.327497,22.47437,45.719734,72.69675,-0.009169742,0.00475353,3.9673176,17.516676
12.503736,16.62758,58.67923,-0.0038958788,9.697528,72,3.6848288,21.806154,9.735307,24.934704,44.188576,72.90797,-0.009955272,0.0035398602,4.2827497,18.365164
11.203334,16.598537,58.07144,0.008464083,9.529219,73,3.6140757,19.390366,9.636241,24.151325,43.82827,72.04799,-0.009412453,0.005055815,3.2859287,18.770771
11.329621,17.23766,58.63283,0.033381388,9.421267,74,3.6880836,21.928545,9.782056,25.457031,43.454567,70.84086,-0.008602753,0.0045428574,3.6920009,17.263203
10.947581,15.725617,58.242855,-0.0009958446,9.000223,75,2.957306,21.09971,9.453849,22.09996,44.669975,70.082825,-0.008982137,0.004412487,3.4978504,16.11082
10.847876,16.014795,58.451454,0.09366276,9.3871355,76,3.3346024,19.717875,9.359764,21.844952,42.9822,72.34914,-0.009456515,0.0023777634,3.9302583,16.258425
11.102851,16.651218,58.887405,0.04849404,8.549262,77,3.7426662,19.885149,10.932518,21.997707,45.31435,72.83836,-0.007646382,0.0045431256,3.4724102,14.871115
10.101937,16.101622,58.32668,-0.018473774,8.93224,78,3.4757986,18.009176,9.65933,21.758999,45.487762,72.96604,-0.008983418,0.004356265,3.7803926,16.18731
10.81491,16.092121,57.731125,0.009607822,9.095199,79,3.9666271,20.67966,9.529718,23.037373,44.76391,72.06672,-0.008910641,0.0034109056,3.4258742,16.563124
11.394752,16.88315,57.733223,-0.0020963252,9.13987,80,3.6002455,21.433426,9.618647,24.339226,44.329212,71.577835,-0.00942044,0.0053995103,3.855351,16.118788
12.009114,16.237919,58.846222,-0.0030755699,9.202315,81,4.0855713,25.074608,8.8295355,23.742165,44.384323,73.395454,-0.0080127865,0.0021860898,3.7133193,15.832001
11.362248,16.341066,58.423553,-0.0029456466,9.147026,82,3.1873522,20.189995,8.717246,22.080894,45.764847,70.975334,-0.009094164,0.0015091151,3.5888438,16.392567
